怪化猫,9.3,樱井孝宏 田中理惠 阪口大助 藤田淑子 竹本英史,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1995752943.jpg,https://movie.douban.com/subject/2340927/
命运之夜前传 第一期,9.1,小山力也 川澄绫子 大原沙耶香 恒松步 门胁舞以,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1205706174.jpg,https://movie.douban.com/subject/5416070/
魔法少女小圆,8.7,悠木碧 斋藤千和 水桥香织 喜多村英梨 加藤英美里,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2088343031.jpg,https://movie.douban.com/subject/5349275/
十二国记,9.1,久川绫 子安武人 铃村健一 相泽正辉 山口胜平,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1902914675.jpg,https://movie.douban.com/subject/1394510/
命运之夜前传 第二期,9.0,小山力也 川澄绫子 大原沙耶香 门胁舞以 中田让治,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1497873044.jpg,https://movie.douban.com/subject/6874729/
命运之夜,7.8,杉山纪彰 川澄绫子 植田佳奈 下屋则子 伊藤美纪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2260549012.jpg,https://movie.douban.com/subject/1727200/
吸血鬼骑士,7.6,堀江由衣 宫野真守 岸尾大辅 诹访部顺一 福山润,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178072353.jpg,https://movie.douban.com/subject/3023172/
恐怖宠物店,8.8,关俊彦 小野坂昌也 伊藤美纪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2503212221.jpg,https://movie.douban.com/subject/1940794/
K,7.4,浪川大辅 杉田智和 福山润 宫野真守 津田健次郎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2161514326.jpg,https://movie.douban.com/subject/10545923/
四月一日灵异事件簿,8.8,大原沙耶香 福山润 中井和哉 伊藤静,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2228424610.jpg,https://movie.douban.com/subject/1760828/
命运之夜 无限剑制,8.6,杉山纪彰 植田佳奈 川澄绫子 诹访部顺一 下屋则子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2220182517.jpg,https://movie.douban.com/subject/24857860/
魔神坛斗士,8.6,草尾毅 竹村拓 中村大树 佐佐木望,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2331800893.jpg,https://movie.douban.com/subject/1456202/
召唤恶魔阿萨谢尔,8.9,浪川大辅 佐藤利奈 白石凉子 小野坂昌也 中井和哉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2201005480.jpg,https://movie.douban.com/subject/5446211/
青之驱魔师,7.7,冈本信彦 福山润 花泽香菜 中井和哉 游佐浩二,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2221017817.jpg,https://movie.douban.com/subject/5382891/
滑头鬼之孙,7.6,福山润 堀江由衣 谷山纪章 前田爱 大塚周夫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1338514215.jpg,https://movie.douban.com/subject/4176576/
恶魔人 Crybaby,8.7,内山昂辉 村濑步 潘惠美 小清水亚美 田中敦子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447081903.jpg,https://movie.douban.com/subject/26997470/
刺客伍六七,8.9,何伟锋 姜广涛 段艺璇 刘小倩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522418171.jpg,https://movie.douban.com/subject/27624762/
噬魂师,8.3,内山昂辉 小见川千明 小林由美子 宫野真守 名塚佳织,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2260277206.jpg,https://movie.douban.com/subject/3033959/
吸血鬼骑士：罪,7.8,堀江由衣 宫野真守 岸尾大辅 福山润 保志总一朗,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2180295656.jpg,https://movie.douban.com/subject/3411843/
四月一日灵异事件簿2,9.0,大原沙耶香 福山润 中井和哉 伊藤静 菊地美香,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2228424146.jpg,https://movie.douban.com/subject/3034986/
